foto,strana,slogan,name,scenari,rezhisser,nameang,genre,dlina
/storage/1651034_500x800x250.jpg,Франция,,Телохранитель (,Алис Винокур,Алис Винокур,Maryland,Триллер, 101 мин.
,,,Новые приключения Аладдина (,,,,,
/storage/1683849_500x800x250.jpg,Франция,,Новые приключения Аладдина (,Деве Коэн,Артур Бензакен,Les nouvelles aventures d'Aladin,Комедия, 107 мин.
/storage/1199367_500x800x250.jpg,Россия,,Антон тут рядом (,Любовь Аркус,Любовь Аркус,,Документальный, 110 мин.
,,,Бернард и Дорис (,,,,,
/storage/1182909_500x800x250.jpg,США,,Бернард и Дорис (,Хью Костильо,Боб Бэлабэн,Bernard and Doris,Драма, 103 мин.
/storage/1159026_500x800x250.jpg,Япония,,Дом из маленьких кубиков (,,Масами Нагасава,La Maison en petits cubes,Мультфильм, 12 мин.
,,,Картуш (,,,,,
/storage/1684119_500x800x250.jpg,Франция,,Картуш (,Georges Desmouceaux,Анри Эльман,"Cartouche, le brigand magnifique",Исторический, 180 мин.
/storage/1683857_500x800x250.jpg,Таиланд,,Гомосеки против зомби (,,Танварин Сухапхисит,Ror door khao chon pee thi khao chon kai,Комедия, 80 мин.
,,,Святой Августин (,,,,,
/storage/1218505_500x800x250.jpg,Италия,,Святой Августин (,Francesco Arlanch,Кристиан Дюге,Sant'Agostino,Драма, 190 мин.
,,,Берсерк: Золотой век. Фильм II. Битва за Долдрей (,,,,,
/storage/1556768_500x800x250.jpg,Япония,,Берсерк: Золотой век. Фильм II. Битва за Долдрей (,Кэнтаро Миура,Тосиюки Кубоока,Berserk Ogon Jidai-hen II: Doldrey Koryaku,Мультфильм, 100 мин.
/storage/1217469_500x800x250.jpg,США,,2012 Апокалипсис (,Джонатан Сантос,,2012 Apocalypse,Документальный, 44 мин.
/storage/1163729_500x800x250.jpg,Швейцария,,Звук насекомых: Дневник мумии (,Питер Личи,Питер Личи,The Sound of Insects: Record of a Mummy,Документальный, 87 мин.
/storage/1159554_500x800x250.jpg,Турция,,Мой нетронутый остров (,Чаган Ырмак,Чаган Ырмак,Issiz adam,Драма, 113 мин.
/storage/1202530_500x800x250.jpg,Южная Корея,,Читающий лица (,,Чжэ-рим Хан ,Gwansang,Драма, 142 мин.
/storage/1684258_500x800x250.jpg,Испания,,Ответственный (,Начо Вигалондо,Серхио Баррехон,El encargado,Драма, 9 мин.
/storage/1177891_500x800x250.jpg,Румыния,,Телевизор в шляпе (,Florin Lazarescu,Раду Жуде,Lampa cu caciula,Драма, 23 мин.
/storage/1206226_500x800x250.jpg,Россия,,9 часов без сна (,Анастасия Пальчикова,Анастасия Пальчикова,,Драма, 23 мин.
,,,Вторжение динозавра (,,,,,
/storage/207379_500x800x250.jpg,Корея,,Вторжение динозавра (,Chul-hyun Baek,Пон Чжун Хо,Gwoemul,Ужасы, 119 мин.
/storage/1676167_500x800x250.jpg,Перу,,Существо (,Сандро Вентура,Эдуардо Шульдт,La Entidad,Ужасы, 80 мин.
,,,Дипан (,,,,,
/storage/1644408_500x800x250.jpg,Франция,,Дипан (,Жак Одиард,Жак Одиард,Dheepan,Драма, 109 мин.
,,,Рюдзо и семеро бойцов (,,,,,
/storage/1610326_500x800x250.jpg,Япония,,Рюдзо и семеро бойцов (,Такеши Китано,Такеши Китано,Ryuzo to 7 nin no kobun tachi,Боевик, 125 мин.
/storage/1220629_500x800x250.jpg,Иран,,Песня соловьев (,Меран Кашани,Маджид Маджиди,Avaze gonjeshk-ha,Драма, 96 мин.
,,,Русалка (,,,,,
/storage/1191066_500x800x250.jpg,Россия,,Русалка (,Елена Гремина,Вадим Арапов,,Мелодрама, 180 мин.
/storage/1151625_500x800x250.jpg,Иран,,Фейерверки по средам (,Асгар Фархади,Асгар Фархади,Chaharshanbe-soori,Драма, 102 мин.
/storage/1171538_500x800x250.jpg,Иран,,История Элли (,Асгар Фархади,Асгар Фархади,Darbareye Elly,Драма, 119 мин.
/storage/1212470_500x800x250.jpg,Россия,,Река жизни. Валентин Распутин (,,Сергей Мирошниченко,,Документальный, 82 мин.
,,,Секта (,,,,,
/storage/1191584_500x800x250.jpg,Россия,,Секта (,Елена Ласкарева,Валерий Девятилов,,Мелодрама, 180 мин.
